source,target,correlation,abs_correlation,pairwise_n,p_value,sign
T04,V09,-0.1370566263687683,0.1370566263687683,91,0.19515262665062588,negative
E05,S01,-0.13645613894471048,0.13645613894471048,91,0.19713530950041838,negative
E11,S05,0.1364449279096454,0.1364449279096454,91,0.19717246330611918,positive
E04,V13,0.13643459714773512,0.13643459714773512,91,0.19720670431315196,positive
E04,S12,-0.13637232519697381,0.13637232519697381,91,0.19741319350028624,negative
S15,V10,0.13634173260871515,0.13634173260871515,91,0.1975146932239148,positive
T07,E05,-0.1361091199804961,0.1361091199804961,91,0.198287680779955,negative
E03,E13,0.1360276843041296,0.1360276843041296,91,0.1985588103482233,positive
E03,V10,-0.1360197199208453,0.1360197199208453,91,0.19858534103092576,negative
T04,V10,-0.13583904805572916,0.13583904805572916,91,0.199187873615208,negative
T09,V09,-0.13580969749502064,0.13580969749502064,91,0.1992858802871324,negative
S04,V12,-0.13571647612976728,0.13571647612976728,91,0.1995973924856967,negative
T10,E04,-0.13538406403058179,0.13538406403058179,91,0.20071104007709817,negative
T04,S11,-0.13530262202096513,0.13530262202096513,91,0.2009845657642787,negative
T05,V07,-0.1349568896071569,0.1349568896071569,91,0.2021486959318325,negative
T01,S02,-0.13484398957574126,0.13484398957574126,91,0.20252989071971259,negative
T13,E12,-0.13433769012735455,0.13433769012735455,91,0.2042456878704606,negative
E14,S03,-0.13411550118188215,0.13411550118188215,91,0.20500193645454015,negative
E05,E15,0.13404012170071425,0.13404012170071425,91,0.20525895425544496,positive
S07,V06,0.13403885018518646,0.13403885018518646,91,0.20526329165471785,positive
T09,E10,-0.13388849783563792,0.13388849783563792,91,0.20577663605923907,negative
T12,S09,-0.13363919539614294,0.13363919539614294,91,0.20662984287548497,negative
T14,V08,-0.1334010394896774,0.1334010394896774,91,0.20744725716423346,negative
T04,S07,-0.1333967937436897,0.1333967937436897,91,0.2074618505840163,negative
T04,E12,0.13322103153065654,0.13322103153065654,91,0.2080666206824217,positive
E04,E09,-0.13311458182462124,0.13311458182462124,91,0.20843350778556158,negative
V13,V15,0.1329799098631997,0.1329799098631997,91,0.2088983252546444,positive
S05,S15,-0.13297753707795604,0.13297753707795604,91,0.20890652148677558,negative
E01,E15,0.13262335403800085,0.13262335403800085,91,0.21013253404361015,positive
